id,cardlink,title,english_title,show_type,episodes,status,started_airing,ended_airing,first_premiered,broadcast,producers,licensors,studios,source,genre,theme,demographic,duration,age_rating,score,ratings_count,rank,popularity,members,users_favorited
0,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009","Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']","['Funimation', 'Aniplex of America']",['Bones'],Manga,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],Shounen,24 min. per ep.,24 min. per ep.,9.10,2047942,#1,#3,"3,225,208","219,969"
1,https://myanimelist.net/anime/9253/Steins_Gate,Steins;Gate,Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011","Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['Funimation'],['White Fox'],Visual novel,"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",None,24 min. per ep.,24 min. per ep.,9.07,1355674,#2,#13,"2,478,766","185,116"
2,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,TV,13,Finished Airing,"Oct 11, 2022","Dec 27, 2022",Fall 2022,Tuesdays at 00:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['VIZ Media'],['Pierrot'],Manga,"['Action', 'Adventure', 'Fantasy']",None,Shounen,24 min. per ep.,24 min. per ep.,9.06,238320,#3,#443,"478,747","19,200"
3,https://myanimelist.net/anime/28977/Gintama%C2%B0,Gintama°,Gintama Season 4,TV,51,Finished Airing,"Apr 8, 2015","Mar 30, 2016",Spring 2015,Wednesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu']","['Funimation', 'Crunchyroll']",['Bandai Namco Pictures'],Manga,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,24 min. per ep.,24 min. per ep.,9.06,241911,#4,#334,"606,490","16,203"
4,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019","Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",['Funimation'],['Wit Studio'],Manga,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen,23 min. per ep.,23 min. per ep.,9.05,1504097,#5,#22,"2,153,653","56,046"
5,https://myanimelist.net/anime/9969/Gintama,Gintama',Gintama Season 2,TV,51,Finished Airing,"Apr 4, 2011","Mar 26, 2012",Spring 2011,Mondays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha']",None Found,['Sunrise'],Manga,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,24 min. per ep.,24 min. per ep.,9.04,229520,#6,#390,"535,471","7,900"
6,https://myanimelist.net/anime/39486/Gintama__The_Final,Gintama: The Final,Gintama: The Very Final,Movie,1,Finished Airing,"Jan 8, 2021","Jan 8, 2021",None,None,"['TV Tokyo', 'Warner Bros. Japan']",['Eleven Arts'],['Bandai Namco Pictures'],Manga,"['Action', 'Comedy', 'Drama', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,1 hr. 44 min.,1 hr. 44 min.,9.04,66116,#7,#1557,"137,936","4,123"
7,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Hunter x Hunter (2011),Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011","Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],['Madhouse'],Manga,"['Action', 'Adventure', 'Fantasy']",None,Shounen,23 min. per ep.,23 min. per ep.,9.04,1683933,#8,#10,"2,707,835","203,294"
8,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War - Ultra Romantic,TV,13,Finished Airing,"Apr 9, 2022","Jun 25, 2022",Spring 2022,Saturdays at 00:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing &amp; Communications']",['Aniplex of America'],['A-1 Pictures'],Manga,"['Comedy', 'Romance']",['School'],Seinen,23 min. per ep.,23 min. per ep.,9.04,474746,#9,#188,"855,700","29,966"
9,https://myanimelist.net/anime/15417/Gintama__Enchousen,Gintama': Enchousen,Gintama: Enchousen,TV,13,Finished Airing,"Oct 4, 2012","Mar 28, 2013",Fall 2012,Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']",None Found,['Sunrise'],Manga,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,24 min. per ep.,24 min. per ep.,9.03,159944,#10,#724,"314,107","2,980"
